Single,Average,Attempt1,Attempt2,Attempt3,Attempt4,Attempt5
5.73,8.05,6.47,9.83,5.73,7.86,10.08
6.18,7.65,8.13,7.61,6.18,7.98,7.37
6.50,8.06,7.54,8.81,6.50,8.62,8.02
6.95,8.43,7.71,6.95,10.10,9.61,7.96
7.36,8.82,9.68,11.07,9.42,7.36,7.37
7.34,7.88,7.34,8.25,7.48,9.41,7.91
6.38,8.11,8.07,6.38,8.28,18.69,7.98
7.12,8.25,9.21,10.92,7.44,8.11,7.12
6.82,7.88,6.82,7.45,9.81,9.00,7.19
6.68,7.39,7.41,7.72,7.05,9.02,6.68
6.64,8.20,10.48,8.98,7.08,6.64,8.55
7.33,9.54,9.49,8.22,7.33,10.91,11.89
7.63,8.58,7.92,8.80,9.86,7.63,9.03
5.99,7.97,5.99,8.26,10.96,8.38,7.26
5.44,7.45,5.44,8.93,6.92,7.89,7.53
6.68,8.38,7.65,7.45,6.68,11.84,10.03
7.23,7.48,9.87,7.55,7.44,7.23,7.45
6.49,8.33,11.24,7.82,6.74,10.42,6.49
6.69,9.46,9.53,9.41,9.45,9.58,6.69
6.54,8.48,8.44,6.54,9.12,7.89,9.16
8.26,9.31,9.28,8.26,9.32,11.49,9.34
7.46,8.71,8.35,13.16,8.58,7.46,9.20
6.83,7.95,6.83,8.51,7.67,9.69,7.66
5.54,6.82,7.05,6.49,8.96,5.54,6.91
6.76,8.27,6.76,9.86,7.58,10.62,7.37
7.45,7.95,7.45,9.81,7.45,8.00,8.40
7.31,8.09,8.26,7.54,8.47,8.48,7.31
8.31,10.34,9.16,9.37,12.49,8.31,1:49.03
6.53,7.13,9.86,7.87,6.53,6.68,6.84
5.91,6.88,6.04,9.83,8.08,5.91,6.52
7.27,7.82,10.28,8.11,7.97,7.27,7.38
6.52,7.56,6.73,7.67,6.52,9.19,8.29
6.54,7.94,7.90,6.54,10.83,8.22,7.70
6.75,7.91,7.98,6.75,7.61,8.13,9.39
6.02,8.12,8.40,6.02,9.76,8.59,7.36
7.01,7.28,7.26,7.89,7.06,7.01,7.52
6.76,7.57,7.19,9.15,6.76,7.57,7.94
6.54,7.49,7.14,7.46,6.54,7.87,8.50
7.67,8.63,7.96,8.78,9.36,9.16,7.67
6.50,7.70,7.78,6.50,8.38,6.95,11.68
5.83,9.10,5.83,9.82,10.59,6.90,DNF
6.55,8.40,8.45,10.76,6.55,9.21,7.54
7.28,8.52,8.26,7.99,7.28,9.54,9.31
8.70,9.04,8.70,8.87,8.94,9.31,10.13
7.13,8.48,8.12,9.36,7.13,8.97,8.34
6.57,8.83,6.57,DNF,9.86,8.57,8.07
6.95,7.66,6.95,8.20,7.89,7.99,7.10
6.23,8.62,8.61,10.07,6.23,7.59,9.67
7.76,8.36,8.28,8.26,8.53,7.76,DNF
6.89,9.22,8.21,11.03,8.73,6.89,10.72
8.21,9.59,8.78,9.87,8.21,15.92,10.11
7.60,9.55,10.85,8.06,10.07,7.60,10.52
7.23,9.70,10.56,9.45,7.23,10.61,9.10
8.70,8.98,9.41,9.56,8.70,8.71,8.83
7.40,8.18,8.07,8.93,7.40,10.90,7.55
7.35,9.24,9.21,10.00,11.46,8.52,7.35
5.90,8.03,6.68,8.90,12.47,8.51,5.90
6.62,9.27,11.22,6.62,8.44,9.30,10.07
8.00,10.71,9.44,8.67,16.05,8.00,14.02
8.00,8.94,10.02,8.00,10.99,8.16,8.65
6.80,8.36,9.27,8.29,6.80,13.30,7.51
9.38,10.68,11.46,9.38,11.23,11.17,9.63
8.61,9.51,10.90,8.98,8.61,11.62,8.64
7.28,8.94,8.48,8.49,11.58,7.28,9.85
7.93,9.08,8.87,9.13,9.23,7.93,9.88
7.08,8.54,8.14,11.33,7.08,8.22,9.25
7.64,9.09,8.26,10.24,8.78,7.64,10.70
7.21,9.55,11.08,9.40,8.58,10.68,7.21
7.22,8.43,9.11,8.38,7.81,7.22,10.78
7.64,9.14,9.35,8.72,7.64,13.08,9.34
7.47,9.40,7.47,11.16,10.27,10.07,7.86
6.79,9.32,6.79,8.92,8.09,12.03,10.94
7.29,8.75,8.36,12.85,9.71,8.17,7.29
8.03,9.26,11.93,8.95,8.03,9.51,9.32
5.55,9.47,9.51,11.27,5.55,9.60,9.31
7.64,10.14,10.51,10.12,7.64,11.01,9.79
7.56,9.36,8.83,7.56,15.86,9.14,10.12
9.58,10.77,12.10,11.52,9.76,9.58,11.02
9.73,11.41,9.97,9.73,13.10,DNF,11.16
8.87,9.71,11.12,8.87,9.14,10.18,9.80
8.99,11.67,9.73,8.99,13.53,11.90,13.39
10.52,12.36,11.14,10.52,11.53,14.42,15.08
8.55,9.84,10.50,10.65,8.55,9.70,9.31
8.42,10.39,10.75,10.93,9.48,8.42,15.26
9.16,9.93,9.72,10.83,9.25,9.16,12.57
9.75,10.84,10.37,10.83,11.82,11.33,9.75
9.56,11.14,11.59,10.39,12.92,11.44,9.56
9.77,10.47,11.67,9.98,9.77,11.02,10.42
10.65,12.29,10.65,10.99,13.26,12.63,13.42
9.55,10.90,10.95,9.55,10.22,11.52,12.96
10.42,10.82,10.85,10.73,10.88,10.42,11.37
